Désignation;Référence; PU.HT ;;;;;
COLLIER COLSANT;2,5X96MM; 10,00   ;;;;;
SCOTCH NOIR;GM; 7,50   ;;;;;
EMBOUT;2,5MM2; 15,00   ;;;;;
ARRET D'URGENCE;; 47,57   ;;;;;
BOITE D'ARRET D'URGENCE;; 25,00   ;;;;;
RELAIS;14 BROCHES 24V DC; 100,00   ;;;;;
ELECTROPOMPE;IR 40 200B 5,5 KW 7,5 HP 380V; 7 166,67   ;;;;;
ELECTROPOMPE;PM80 0,80 380V TRIPHASE; 1 166,67   ;;;;;
PC ORDINATEUR;"Lenovo i5-13420H 16GB 512 SSD 23,8"" TACTILE FHD win 11 Pro"; 7 750,00   ;;;;;
INSTALLATION ET PREPARATION;; 375,00   ;;;;;
LOCATION CAMION PLATEAU;; 11 500,00   ;;;;;
CONE/CUVETTE;32211 FNR; 125,00   ;;;;;
JOINT DE CHEVRON;70X85X22,5; 259,00   ;;;;;
ARRET D'HUILE;110X130X12 A VITON; 227,73   ;;;;;
ARRET D'HUILE;90X110X13 A VITON; 220,97   ;;;;;
COURONNE IMPREGNEE;101T6 CHINE; 3 400,00   ;;;;;
MANCHON ALESEUR;101T6; 1 675,00   ;;;;;
EXTRACTEUR;101T6; 315,00   ;;;;;
PORTE EXTRACTEUR;101T6; 310,00   ;;;;;
CAROTTIER DOUBLE COMPLET;101T6 LG=1500MM; 8 880,00   ;;;;;
ELECTROPOMPE;PM80 0,80 380V TRIPHASE; 1 166,67   ;;;;;
ORDINATEUR PORTABLE;SYSTÈME SEPI ET LUGEOGRAPHE; 3 400,00   ;;;;;
LOGICIEL D'EXPLOITATION;SYSTÈME SEPI ET LUGEOGRAPHE; 1 500,00   ;;;;;
LOCATION VEHICULE;HYUNDAI TUCSON; 12 000,00   ;;;;;
ROULEMENT A BILLE;6207 2RS Z2V2 GULLMAN; 37,50   ;;;;;
ROULEMENT A BILLE;6013 2RS Z2V2 GULLMAN; 166,67   ;;;;;
ROULEMENT A BUTEE;51213 KG; 101,21   ;;;;;
ARRET D'HUILE;60X75X10; 25,00   ;;;;;
CIRCLIPS;INT 85; 16,67   ;;;;;
ROULEMENT;6019 2RS ACE; 420,00   ;;;;;
REPARATION GROUPE D'EAU GLACEE;; 5 500,00   ;;;;;
LOCATION CAMION PLATEAU;; 9 000,00   ;;;;;
STATIONNEMENT;; 1 000,00   ;;;;;
RECHARGE CARTE JAWAZ;TAG N°24280419748; 833,33   ;;;;;
CONFECTION COUPELLE;S/M; 84,00   ;;;;;
FICHE PLAT;; 0,83   ;;;;;
COSSE;D 4MM; 0,83   ;;;;;
COSSE;6MM; 0,83   ;;;;;
GAINE;ISO GRIS D 10MM; 6,67   ;;;;;
CONTACT DE DEMARRAGE ;RENFORCEE; 125,00   ;;;;;
VOYANT;24V COMPLET; 20,83   ;;;;;
BATTERIE;12V100A L5; 1 041,67   ;;;;;
COURROIE;9,5X1100; 50,00   ;;;;;
PORTABLE SUMSUNG;A56; 4 300,00   ;;;;;
CONFECTION FLEXIBLE;1/2 LG=1,80 MT-CPTE F/COTE HP; 306,82   ;;;;;
ADAPTEUR A GAZ;1/2MM 90°; 63,00   ;;;;;
TOURNANT A GAZ;1/2 FF BSP; 38,08   ;;;;;
JOINT LAITON;10 METRIQUE; 4,20   ;;;;;
JOINT TORIQUE;"3/8"" JCP"; 5,60   ;;;;;
TENDEUR POMPE A EAU;CUMMINS; 750,00   ;;;;;
POMPE A EAU;CUMMINS; 958,33   ;;;;;
BOITE D'ARRET D'URGENCE;; 29,45   ;;;;;
BOULON;HR 20X60; 4,50   ;;;;;
RECHARGE CARTE CARBURANT;FREE N°2174297; 5 454,55   ;;;;;
TRANSPORTKELLY MAIT;ALLER/RETOUR; 10 000,00   ;;;;;
RECHARGE CARTE JAWAZ;TAG N°15182159952; 833,33   ;;;;;
SOURIS;LOGITECH SF; 158,33   ;;;;;
ENVELOPPE BLANC;A4; 1,25   ;;;;;
ENVELOPPE BLANC;AMERICAIN 115X230; 0,42   ;;;;;
CLE USB;32 GB ADATA; 70,83   ;;;;;
PAPIER BLANC;NAVIGATOR 80G; 54,17   ;;;;;
CHEMISE BULL;A4 NAVIGATOR 80G; 37,50   ;;;;;
CARTOUCHE D'ENCRE;EPSON 664 NOIR; 125,00   ;;;;;
CARTOUCHE D'ENCRE;EPSON 664 BLEU; 125,00   ;;;;;
CARTOUCHE D'ENCRE;EPSON 664 JAUNE; 125,00   ;;;;;
CARTOUCHE D'ENCRE;EPSON 664 ROSE; 125,00   ;;;;;
CARTOUCHE D'ENCRE;EPSON 103 NOIR; 133,33   ;;;;;
CARTOUCHE D'ENCRE;EPSON 103 BLEU; 153,33   ;;;;;
CARTOUCHE D'ENCRE;EPSON 103 JAUNE; 158,33   ;;;;;
CARTOUCHE D'ENCRE;EPSON 103 ROSE; 158,33   ;;;;;
CHEMISE CARTONNE;; 0,83   ;;;;;
ENVELOPPE BLANC;A3 340X410; 3,33   ;;;;;
TONER;HP LASER 205A NOIR/CF530; 616,67   ;;;;;
PAPIER BLANC;A4 PIONNEER 80G; 51,67   ;;;;;
REGISTRE DE CONGE PAYE;; 37,50   ;;;;;
FICHE PERSONNEL;; 2,50   ;;;;;
TONER;HP LASER 136A NOIR/M211; 708,33   ;;;;;
POMPE HYDRAULIQUE;A17F023; 5 100,00   ;;;;;
VANNE A BILLE;"1"" NOIR EE"; 170,00   ;;;;;
MAMELON;"1"" NOIR EE"; 14,00   ;;;;;
MANCHON;"1"" NOIR EE"; 20,00   ;;;;;
MAMELON;"2"" NOIR EE"; 49,00   ;;;;;
MANCHON;"2"" NOIR EE"; 53,00   ;;;;;
TUBE PEHD;32 PN16; 9,20   ;;;;;
RACCORD PEHD;"50X1""/2 MALE"; 58,00   ;;;;;
CHENILLE EN CAOUATCHOUC;230X96X33; 3 200,00   ;;;;;
SERVICE PACK;400 H BOXD,E 3002609480; 2 990,00   ;;;;;
HUILE ;E 20L; 1 750,00   ;;;;;
FORFAIT MAIN D'ŒUVRE ET DEPLACEMENT;; 7 800,00   ;;;;;
TRAVAUX DE GALVANISATION;TRAPPE; 5,20   ;;;;;
ARRET D'HUILE;130X110X12 A VITON; 198,00   ;;;;;
TARAUD;CV 20X150; 130,00   ;;;;;
HUILE ;HM-68 204LT; 5 850,00   ;;;;;
NIVEAU VISUEL;AT 127; 219,22   ;;;;;
ARRET D'HUILE;90X110X13 A VITON; 220,95   ;;;;;
DURITE A EAU CHAUDE;60 100 C°; 165,00   ;;;;;
DURITE A EAU CHAUDE;60 100 C°; 165,00   ;;;;;
RACCORD RAPIDE;06-1/8 LAITON MALE DROIT; 21,00   ;;;;;
TUBE PEHD;32 PN16; 9,20   ;;;;;
RACCORD PEHD;"50X1""1/2 MALE"; 58,00   ;;;;;
CONFECTION MANCHON;M/F; 1 100,00   ;;;;;
CONFECTION ACIER;S/M; 400,00   ;;;;;
CONFECTION AXE;S/M; 125,00   ;;;;;
CONFECTION MANCHON;DENTEE Z9 D 40MM; 1 000,00   ;;;;;
CONFECTION REDUCTION;"3""1/2 REG MX140"; 2 700,00   ;;;;;
CONFECTION REDUCTION;DENTEE; 2 500,00   ;;;;;
CONFECTION FALONGE;"3""1/2 REG"; 1 500,00   ;;;;;
CONFECTION REDUCTION;"3""1/2 REG POUR FALONGE"; 1 000,00   ;;;;;
CONFECTION MANCHON;DENTEE 11 DENTS M D 32; 1 000,00   ;;;;;
CHAINE;ASA 100; 165,00   ;;;;;
ATTACHE RAPIDE;AASA 100; 30,00   ;;;;;
CLAVETTE;18X18 LG=3,09 MT; 58,00   ;;;;;
ACIER ROND;42CD4 D 240 LG=70MM; 687,50   ;;;;;
ACIER ROND;42CD4 D 105 LG=250MM; 402,50   ;;;;;
ACIER ROND;42CD4 D 170 LG=360MM; 1 495,00   ;;;;;
ACIER ROND;42CD4 D 90 LG=110MM; 149,50   ;;;;;
ACIER ROND;42CD4 D 115 LG=250MM; 494,50   ;;;;;
ACIER ROND;42CD D 170 LG=140MM; 598,00   ;;;;;
GASOIL;; 9,35   ;;;;;
JOINT CHEVRON;60X80X37; 575,00   ;;;;;
CONFECTION FLEXIBLE;3/8 LG=0,77 MT C/C REDUIT; 132,58   ;;;;;
CABLE ELECTRIQUE SOUPLE;4X10MM2; 66,67   ;;;;;
PROJECTEUR LED;100W; 216,67   ;;;;;
CONFECTION FLEXIBLE;1/4 LG= 3 MT C/C; 187,83   ;;;;;
TUYAU GASOIL;7,5x12,5; 49,00   ;;;;;
COLLIER MICALOR;9mm 08-16; 4,20   ;;;;;
TE EGAL 08L COMPLET;08 MM; 30,80   ;;;;;
COUDE ;"2"" FF GALVANISEE"; 58,80   ;;;;;
MAMELON;"2"" EE GALVANISEE";;;;;;
ELECTRODE;MATECA 3,15; 115,00   ;;;;;
PORTABLE;SAMSUNNG S24 FE GRAPHITE; 5 200,00   ;;;;;
PORTABLE;; 5 200,00   ;;;;;
LOCATION CAMION PLATEAU;JORF LASFAR-TAOUNATE; 14 000,00   ;;;;;
FILTRE A AIR;; 328,00   ;;;;;
FILTRE A HUILE;; 234,00   ;;;;;
FILTRE A GASOIL;; 147,00   ;;;;;
COURROIE;; 155,00   ;;;;;
HUILE ;DTE 26 208LT; 8 200,00   ;;;;;
HUILE ;SOLUBE VASCOMET 10 20LT; 724,00   ;;;;;
HUILE ;DTE 26 20LT; 1 100,00   ;;;;;
HUILE ;HD 90 20LT; 652,00   ;;;;;
CAISSE A CAROTTE;PVC A 5 RANGERS AVEC COUVERCLE; 195,00   ;;;;;
ROULEMENT A BILLE;6207 ZZC3 Z2V2 GULLMAN; 40,00   ;;;;;
ACCOUPELEMENT EN ACIER;CH16-GE-T 28/38; 490,00   ;;;;;
CAROTTIER DOUBLE COMPLET;101T6 LG=1500MM; 8 880,00   ;;;;;
COURONNE IMPREGNEE;101T6 CHINE; 3 400,00   ;;;;;
MANCHON ALESEUR;101T6; 1 675,00   ;;;;;
EXTRACTEUR;101T6; 315,00   ;;;;;
PORTE EXTRACTEUR;101T6; 310,00   ;;;;;
PIC;DS04; 205,00   ;;;;;
PORTE PIC;C4B 38/30; 175,00   ;;;;;
CITERNE D'EAU;10000 LITRES; 10 000,00   ;;;;;
REPARATION POMPE D'INJECTION;deutz ; 9 465,98   ;;;;;
LOCATION CAMION PLATEAU;TAOUNATE-SIDI HAJJAJ; 7 000,00   ;;;;;
TUBE PEHD;40 PN10; 9,80   ;;;;;
RACCORD PEHD;"40X1""1/4 MALE"; 25,00   ;;;;;
LOCATION CAMION PORTE CHARS;JORF LASFAR-TAOUNATE-SIDI HAJJAJ; 70 000,00   ;;;;;
POSTE DE SOUDURE;350 A 380V TELWIN COMPLET; 13 500,00   ;;;;;
ELECTRODE;BASIC 7018 D 4MM; 200,00   ;;;;;
ELECTRODE;S 2000 3,15; 110,00   ;;;;;
MEULEUSE;230 BOSCH 2200W ; 1 100,00   ;;;;;
DISQUE A COUPER ;230X3,20; 13,00   ;;;;;
GANT ENDUIT;LATEX; 18,00   ;;;;;
DISJONCTEUR MOTEUR;6 A 10; 566,67   ;;;;;
DISJONCTEUR MOTEUR;9 A 14; 583,33   ;;;;;
CABLE ELECTRIQUE SOUPLE;2X1,5MM2; 6,25   ;;;;;
CABLE ELECTRIQUE SOUPLE;4X1,5MM2; 9,58   ;;;;;
CABLE ELECTRIQUE SOUPLE;4X4MM2; 23,33   ;;;;;
CABLE ELECTRIQUE SOUPLE;4X6MM2; 45,00   ;;;;;
CABLE ELECTRIQUE SOUPLE;4X50MM2; 330,00   ;;;;;
CABLE ELECTRIQUE SOUPLE;4X16MM2; 103,33   ;;;;;
PRISE APPARENT;3P+T 32A 380V; 145,83   ;;;;;
FICHE;3P+T 32A 380V; 95,83   ;;;;;
PRISE APPARENT;2P+T 16A 220V; 75,00   ;;;;;
FICHE ;2P+T 16A 220V; 54,17   ;;;;;
RESINGEUSE;M12; 133,33   ;;;;;
PROJECTEUR LED;100W; 216,67   ;;;;;
TARAUD;HSS M 20; 360,00   ;;;;;
ROULEMENT A BUTEE;51213 KG; 101,21   ;;;;;
ROULEMENT A BILLE;6013 ZZC3 Z2V2 FNR; 83,43   ;;;;;
DETECTEUR INDUCTIF;M18 2 FILS 5MM AVEC CABLE 24-220V DC/AC; 250,00   ;;;;;
OBTURATEUR SIMPLE;R 54 LG=1000 MM; 4 650,00   ;;;;;
LOCATION PICK-UP;TOYOTA 18914-B-59; 250,00   ;;;;;
SILICONE ;; 41,67   ;;;;;
ANTIGEL;5 LT; 10,00   ;;;;;
PAPIER JOINT;; 83,33   ;;;;;
L'HERMETIQUE;; 25,00   ;;;;;
GASOIL;; 9,35   ;;;;;
LOCATION CAMION PLATEAU;; 5 000,00   ;;;;;
MOTEUR THERMIQUE;DEUTZ 6 CYLINDRE; 23 000,00   ;;;;;
TRAVAUX GRILLAGE;; 1,45   ;;;;;
LOCATION VEHICULE;HYUNDAI TUCSON; 12 000,00   ;;;;;
LOCATION PICK-UP;; 291,67   ;;;;;
LOCATION PICK-UP;; 291,67   ;;;;;
LOCATION PICK-UP;; 291,67   ;;;;;
RECHARGE CARTE CARBURANT;FREE N°2174271; 4 545,45   ;;;;;
VIS;TH 4X20 A/E; 0,70   ;;;;;
VIS;4X60 A/E; 1,60   ;;;;;
SILICONE ;; 20,00   ;;;;;
TUBE GALVANISEE;"1""1/4 LG=6000 MM TARIF 3"; 80,00   ;;;;;
MANCHON ;"1""1/4 NOIR EE"; 30,00   ;;;;;
MAMELON;"1""1/4 NOIR EE"; 28,60   ;;;;;
VANNE A BILLE;"1""1/4 SIRAL"; 241,67   ;;;;;
VANNE A PAPILLON;DN 50 PN16 A/V ACTIONNEUR DOUBLE EFFET+DISTRIBUTEUR 5/2 24V AC; 1 200,00   ;;;;;
VANNE A PAPILLON;DN 200 PN16 A/V ACTIONNEUR DOUBLE EFFET+DISTRIBUTEUR 5/2 24V AC; 3 100,00   ;;;;;
BOITIER DE FIN DE COURSE;; 300,00   ;;;;;
TUBE HYDRAULIQUE ;2X4 EP 1MM; 21,70   ;;;;;
TUBE CUIVRE;4X6MM; 55,00   ;;;;;
ACIER ROND;42CD4 D85 LG=25MM 30 UNITES; 22,00   ;;;;;
FONTE ROND;FT25 D 115 LG=30MM 30 UNITES; 28,00   ;;;;;
TIGE CHROME;32 LG=450MM 4 UNITES; 250,00   ;;;;;
ALUMINIUM;100 LG=145MM 5 UNITES; 110,00   ;;;;;
ACIER ROND;XC48 100 LG=40MM; 17,00   ;;;;;
FRAIS DE COUPE;; 151,00   ;;;;;
ARRET D'HUILE;3804304; 750,00   ;;;;;
ARRET D'HUILE;4955665; 900,00   ;;;;;
ARRET D'HUILE;3803894; 600,00   ;;;;;
HUILE;DTE 26 208LT; 8 200,00   ;;;;;
RECHARGE CARTE CARBURANT;FREE N°31186727; 5 454,55   ;;;;;
SERVICE PACK;400H BOXED,E 3002609480 ; 2 990,00   ;;;;;
HUILE;E 20L 1615595400; 1 750,00   ;;;;;
HUILE;E 5LT 1615595400; 580,00   ;;;;;
FORFAIT MAIN D'ŒUVRE ET DEPLACEMENT;; 7 800,00   ;;;;;
LOCATION D'UN BUCKET;D 1200 MM; 500,00   ;;;;;
ACIER ROND;42CD 4 D 90 LG=1000MM; 21,50   ;;;;;
ACIER ROND;42CD 4 D 90 LG=25MM; 21,50   ;;;;;
ACIER ROND;42CD4  D 75 LG=1000MM; 21,60   ;;;;;
ACIER ROND;42CD 4 D 75 LG=50MM; 21,50   ;;;;;
FRAIS DE COUPES;; 650,00   ;;;;;
TIGE CHROME;D 50 LG=600MM; 700,00   ;;;;;
ACIER ROND;42CD 4 D 65 LG=450MM; 21,50   ;;;;;
CLAVETTE;25X25 LG=3180MM; 58,00   ;;;;;
CLAVETTE;25X25 LG=1000MM; 58,00   ;;;;;
KIT JOINT;S/M; 1 750,00   ;;;;;
REDUCTION LATON;1/4X1/8 MF; 12,60   ;;;;;
SURTISSAGE BAGUE D'OTURATEUR;MANCHETTE R 84X1000MM; 214,29   ;;;;;
POMPE VIDE CAVE;PVT 200/A 2HP 380V AQUATECH; 3 000,00   ;;;;;
FLOTTEUR;2 MTS; 58,33   ;;;;;
FILTRE A GASOIL;FF 574; 82,00   ;;;;;
FILTRE A HUILE;LF 3000; 438,00   ;;;;;
FILTRE A GASOIL;FS 1280; 144,00   ;;;;;
FILTRE HYDRAULIQUE;A4412AB; 825,00   ;;;;;
POSTE DE SOUDURE;ARC 400 380V JASIC COMPLET;;;;;;
GANT DE SOUDURE;HAUT P43-P44;;;;;;
CHAUSSURE DE SECURITE;HAU;;;;;;
BOTTE;VERT P43-P44;;;;;;
TABLIER DE SOUDURE;;;;;;;
GANT ENDUIT;LATEX;;;;;;
GRAISSEUR;S/M; 350,00   ;;;;;
TOLE NOIR;600X60X20 S275JRS; 159,92   ;;;;;
TOLE NOIR;600X20X20 S275JRS; 81,99   ;;;;;
TOLE NOIR;600X100X20 S275JRS; 237,85   ;;;;;
TOLE NOIR;600X400X20 S275JRS; 822,30   ;;;;;
MANOMETRE;10 BARS D 100MM; 225,00   ;;;;;
REDUCTION;"1""X3/4 MF"; 14,00   ;;;;;
VANNE A BILLE;"1"" SIRAL"; 170,00   ;;;;;
TE;"1"" NOIR EE FFF"; 30,00   ;;;;;
MAMELON;"1"" NOIR EE"; 14,00   ;;;;;
COUDE ;"1"" NOIR EE MF"; 24,50   ;;;;;
REDUCTION;"1""X1/2  NOIR EE"; 14,00   ;;;;;
MANCHON;"1""1/4 NOIR EE"; 23,37   ;;;;;
ADAPTEUR A GAZ;"1""1/4"; 83,00   ;;;;;
POSTE DE SOUDURE;400A 380V JASIC;;;;;;
GANT DE SOUDURE;;;;;;;
CHAUSSURE DE SECURITE;HAUT P43-P44-P45;;;;;;
BOTTE EN PVC;VERT P43-P44;;;;;;
TABLIER DE SOUDURE;;;;;;;
GANT ENDUIT;LATEX ;;;;;;
DISQUE A COUPER ;230X3,20; 13,00   ;;;;;
DISQUE A MEULER;230X6,40; 24,00   ;;;;;
BAGUETTE EN BRONZE;3MM; 220,00   ;;;;;
POUDRE DE BRASAGE;150 GRS; 10,00   ;;;;;
GANT ENDUIT;LATEX; 25,00   ;;;;;
FEUILLE ABRASIF;180; 4,00   ;;;;;
BOULON;HR 14X60 A/E NYLSTOP+RONDELLE; 22,00   ;;;;;
TELECOPIEUR FAX;BROTHER LASER 2845; 2 833,33   ;;;;;
CABLE ELECTRIQUE SOUPLE;4X6MM2;;;;;;
CABLE ELECTRIQUE SOUPLE;4X10MM2;;;;;;
DISQUE A COUPER ;230X3,20;;;;;;
DISQUE A MEULER;230X6,40;;;;;;
BAGUETTE EN BRONZE;D 3MM;;;;;;
POUDRE DE BRASAGE;150 GRS;;;;;;
GANT ENDUIT;LATEX;;;;;;
VIS;"TH 3/4X2""1/4"; 30,00   ;;;;;
SILICONE ;REINZ; 41,67   ;;;;;
EXTINCTEUR;1KG; 83,33   ;;;;;
ANTIGEL;5LT; 58,33   ;;;;;
CABLE ELECTRIQUE SOUPLE;4X10MM2; 66,67   ;;;;;
CABLE ELECTRIQUE SOUPLE;4X6MM2; 45,00   ;;;;;
TUBE GALVANISEE;3/4 SERIE 1; 56,00   ;;;;;
FEUILLE ABRASIF;180; 4,00   ;;;;;
VIS;HR 14X50 A/E NYLSTOP; 5,50   ;;;;;
CONFECTION RACCORD;M/F; 300,00   ;;;;;
MOTEUR HYDRAULIQUE;A6 VM 80; 8 000,00   ;;;;;
POMPE IMMERGEE;NS96/DA37 7,5HP 5,5KW 380V SAER; 9 583,33   ;;;;;
FLOTTEUR;2 MTS; 58,33   ;;;;;
RECHARGE CARTE CARBURANT;FREE N°844955; 5 454,56   ;;;;;
PIC;DS04; 205,00   ;;;;;
ARRET D'HUILE;90X110X13 A VITON; 150,00   ;;;;;
ARRET D'HUILE;110X130X12 A VITON; 320,00   ;;;;;
ROULEMENT A BILLE;6019 2RS C3 KOYO; 580,00   ;;;;;
ROULEMENT A BILLE;6207 ZZ C3 KOYO; 90,00   ;;;;;
ROULEMENT A BILLE;6013 ZZ C3; 110,00   ;;;;;
RONDELLE;MB 18; 16,00   ;;;;;
ECROU;KM 18; 75,00   ;;;;;
LOCATION CAMION PLATEAU;; 11 500,00   ;;;;;
MEULEUSE;230 2200W BOSCH; 1 100,00   ;;;;;
ELECTRODE;S 2000 3,15; 110,00   ;;;;;
DISTRIBUTEUR ;24V DC NAMUR; 280,00   ;;;;;
MANOMETRE;400 BARS D 100; 280,00   ;;;;;
CLAPET ANTIRETOUR;"1"" EUROPA"; 140,00   ;;;;;
ADAPTEUR A GAZ;"1"""; 42,00   ;;;;;
SERTISSAGE BAGUE;MANCHETTE R 84X1000MM; 214,29   ;;;;;
TUBE NOIR;"1""1/2 LG= 6000 MM "; 62,83   ;;;;;4008
TOLE NERVESCO;GALVANISEE 5/10 LG=4000 MM; 70,83   ;;;;;
ACIER ROND;XC48 D 55X12MM; 6,38   ;;;;;
ACIER ROND;XC38 D 45X30MM; 7,65   ;;;;;
LOCATION CAMION PLATEAU;; 11 500,00   ;;;;;
JOINT DAS;100X75X22,40; 130,00   ;;;;;
COUPELLE HYDRAULIQUE;55X65X8; 78,60   ;;;;;
CALLE;86,31X5,33X1,93; 40,00   ;;;;;
JOINT TORIQUE;5,33X88,27; 12,00   ;;;;;
BANDE DE GUIDAGE;20X2,5; 700,00   ;;;;;
RACLEUR METALLIQUE;55X69X11/8; 166,67   ;;;;;
DISJONCTEUR COMPACT;4X160A SCHNEIDER; 2 000,00   ;;;;;
BORNE A PATTE;70; 29,17   ;;;;;
COSSE A SERTIR;50; 7,50   ;;;;;
COSSE A SERTIR;70; 10,00   ;;;;;
ACIER ROND;XC48 D 115X70MM; 110,50   ;;;;;
TIGE CHROME;55 LG=330 MM; 293,70   ;;;;;
GASOIL;; 9,35   ;;;;;
MEULEUSE;230 2200W BOSCH;;;;;;
ELECTRODE;S 2000 3,15;;;;;;
OBTURATEUR SIMPLE;R 54 LG=1000 MM; 4 650,00   ;;;;;
PEINTURE;ROUGE COCA ADAFLEX; 70,00   ;;;;;
PEINTURE;GRIS LAAYOUNE PROFLEX; 70,00   ;;;;;
PEINTURE;NOIR MAT; 65,00   ;;;;;
PAPIER COLLANT;; 10,00   ;;;;;
SCOTCH D'EMBALLAGE;50X100 ASMACO; 15,00   ;;;;;
DILUANT CELLULOSIQUE;SODECSO 5LT; 23,00   ;;;;;
BROSSE METALLIQUE;SECOUPE T100 JAZ; 90,00   ;;;;;
TOLE NOIR;500X500X15MM S275JR; 581,03   ;;;;;
BATTERIE;12V100AH L5; 1 041,67   ;;;;;
BATTERIE;12V100AH L5; 1 041,67   ;;;;;
COSSE DE BATTERIE;DIESEL +/-; 15,00   ;;;;;
CONTACT DE DEMARRAGE ;RENFORCEE; 125,00   ;;;;;
CAPLE ELECTRIQUE SOUPLE;1,5MM2; 5,00   ;;;;;
CABLE ELECTRIQUE SOUPLE;2,5MM2; 7,50   ;;;;;
FICHE PLAT;4MM; 0,42   ;;;;;
COSSE;6MM; 0,83   ;;;;;
COSSE;8MM; 0,83   ;;;;;
COSSE;10MM; 0,83   ;;;;;
GAINE ;D 12MM; 6,67   ;;;;;
INTERUPTEUR;; 25,00   ;;;;;
RELAIS ;24VV; 37,50   ;;;;;
MANO;24V; 41,67   ;;;;;
COLLIER COLSON;7,5X300; 0,83   ;;;;;
MANOTEMPERTURE;24V; 125,00   ;;;;;
MOTEUR HYDROMATIC;FM 32; 5 500,00   ;;;;;
FREQUENCEMETRE;S/M; 133,33   ;;;;;
VANNE A BILLE;"2"" SIRAL"; 556,00   ;;;;;
CONFECTION FLEXIBLE;"1"" R9 LG=5000 MM MFBSP"; 1 101,35   ;;;;;
TE ;"1"" NOIR EE"; 30,00   ;;;;;
VANNE A BILLE;"1"" SIRAL"; 170,00   ;;;;;
MANOMETRE;16 BARS D 100; 225,00   ;;;;;
MAMELON;"1"" NOIR EE"; 14,00   ;;;;;
ALTERNATEUR;ISUZU; 2 000,00   ;;;;;
RELAIS ;24V; 500,00   ;;;;;
ACCOUPLEMENT;S/M; 1 000,00   ;;;;;
CHAINE DE DRAGAGE;S/M; 900,00   ;;;;;
REBOBINAGE MOTEUR ELECTRIQUE;MOTEUR IMM SAER 220V; 750,00   ;;;;;
FRAISE ;MODULE M5 N1; 400,00   ;;;;;
FRAISE ;MODULE M5 N3; 400,00   ;;;;;
FRAISE ;MODULE M4 N5; 350,00   ;;;;;
FRAISE ;MODULE M4,2J N7; 360,00   ;;;;;
FRAISE ;MODULE M4J N3; 380,00   ;;;;;
OUTIL;MDJNR 2525 M15; 300,00   ;;;;;
PLAQUETTE DE BRASAGE;DNMC 15608; 40,00   ;;;;;
OUTIL;MTENN 2525 M10; 300,00   ;;;;;
PLAQUETTE DE BRASAGE;TNMG 160404; 38,00   ;;;;;
DIVISSEUR;1L40 COMPLET; 12 000,00   ;;;;;
KIT DE BRIDAGE;M14; 750,00   ;;;;;
PIED A COULISSE;250MM; 680,00   ;;;;;
JAUGE FILTAGE;M/W; 90,00   ;;;;;
TARAUD;CV.3/4 GAZ; 198,00   ;;;;;
OUTIL;INT 25X25; 90,00   ;;;;;
OUTIL;INT 14X12; 60,00   ;;;;;
OUTIL;A GOUGE INT 10X10; 50,00   ;;;;;
OUTIL;16X16; 60,00   ;;;;;
EXTRACTEUR;5X20; 140,00   ;;;;;
MANDRIN DE TOUR;4M-250; 4 000,00   ;;;;;
MONDRIN DE FRAISE;ER 32-340; 1 700,00   ;;;;;
FILTRE A GASOIL;FF574; 82,00   ;;;;;
FILTRE A HUILE;FL4054; 130,00   ;;;;;
FILTRE A HYDRAULIQUE;288883; 1 672,00   ;;;;;
ACIER CREUX;30X20X500; 32,00   ;;;;;
FILTRE HYDRAULIQUE;PN 9095 052254 GENWINE PART; 829,44   ;;;;;
PRE FILTRE GASOIL;1092/3222/00; 180,64   ;;;;;
FILTRE A GASOIL;1092/3221/00 5269933; 455,36   ;;;;;
HUILE;PAROIL E 20LT; 1 750,00   ;;;;;
VIS;BTR 24X80 A/E; 40,00   ;;;;;
COURROIE DE VENTILATEUR DE REFROIDISSEMENT;8982532750; 397,46   ;;;;;
BLOC TEMPRISE;; 358,33   ;;;;;
CONTACTEUR ;LCD 40 220V; 816,67   ;;;;;
FICHE;3P+T 63A; 358,33   ;;;;;
PROLONGATEUR;3P+T 63A; 400,00   ;;;;;
COURONNE IMPREGNEE;76T2 A6; 3 145,00   ;;;;;
TUBE NOIR;219,10 EP 6,3 MM TARIF 10 EN 5,80MT; 355,00   ;;;;;
TOLE NOIR;6000X2000X30MM 01 UNITE; 12,10   ;;;;;
TOLE NOIR;6000X2000X15MM 03 UNITEES; 11,30   ;;;;;
MANCHETTE EN CAOUATCHOUC;D 54X28X150MM; 350,00   ;;;;;
APPRET GRIS;CELLULOSIQUE 5KG; 40,00   ;;;;;
DILUANT CELLULOSIQUE;SODECSO 5LT; 23,00   ;;;;;
ELECTRODE;MATICA 3,15;;;;;;
ELECTRODE;MATICA 3,15;;;;;;
RECHARGE CARTE JAWAZ;TAG N°24280419748; 833,33   ;;;;;
RECHARGE CARTE JAWAZ;TAG N°25121590225; 1 666,67   ;;;;;
DECOUPE LASER;TOLE NOIR 6000X2000X30/6000X2000X15; 11 955,70   ;;;;;
MANOMETRE;60 BARS D 100; 260,00   ;;;;;
MANOMETRE;100 BARS D 100; 308,00   ;;;;;
CONFECTION FLEXIBLE;HP 1/2 R9 BSP LG=3000MM MF; 377,10   ;;;;;
CONFECTION FLEXIBLE;HP 3/4 R9 BSP LG=3000MM MF; 532,04   ;;;;;
RACCORD RAPIDE;06-1/8 LAITON MALE DROIT; 21,00   ;;;;;
